call_oi,call_chng_oi,call_volume,call_iv,call_ltp,call_net_chng,call_bid_qty,call_bid_price,call_ask_price,call_ask_qty,strike,put_bid_qty,put_bid_price,put_ask_price,put_ask_qty,put_net_chng,put_ltp,put_iv,put_volume,put_chng_oi,put_oi,asset,expiry_date
75.0,-5.0,8.0,20.34,7911.0,3124.4,900.0,6841.65,8578.8,870.0,48000,16740.0,56.4,,,,194.05,30.966666666666665,0.0,0.0,0.0,BANKNIFTY,26-May-2026
0.0,0.0,0.0,20.34,7748.8,,870.0,6808.0,8944.15,870.0,48100,,,,,,197.45000000000002,30.791333333333334,0.0,0.0,0.0,BANKNIFTY,26-May-2026
0.0,0.0,0.0,20.34,7586.6,,870.0,6718.3,8590.4,870.0,48200,,,,,,200.85000000000002,30.616,0.0,0.0,0.0,BANKNIFTY,26-May-2026
0.0,0.0,0.0,20.34,7424.4,,870.0,6619.3,8706.1,870.0,48300,,,,,,204.25,30.440666666666665,0.0,0.0,0.0,BANKNIFTY,26-May-2026
0.0,0.0,0.0,20.34,7262.2,,870.0,6530.7,8553.1,870.0,48400,600.0,59.95,,,,207.65,30.265333333333334,0.0,0.0,0.0,BANKNIFTY,26-May-2026
2.0,-1.0,1.0,20.34,7100.0,1750.0,900.0,7481.6,8336.7,390.0,48500,60.0,141.1,261.8,60.0,-520.6,211.05,30.09,345.0,-131.0,398.0,BANKNIFTY,26-May-2026
0.0,0.0,0.0,20.34,7090.0,,870.0,6267.1,8272.35,870.0,48600,600.0,66.3,,,,217.86,29.998,0.0,0.0,0.0,BANKNIFTY,26-May-2026
0.0,0.0,0.0,20.34,7080.0,,870.0,6205.9,8119.7,870.0,48700,600.0,69.75,,,,224.67000000000002,29.906,0.0,0.0,0.0,BANKNIFTY,26-May-2026
0.0,0.0,0.0,20.34,7070.0,,870.0,6098.95,7967.4,870.0,48800,,,,,,231.48000000000002,29.814,0.0,0.0,0.0,BANKNIFTY,26-May-2026
0.0,0.0,0.0,20.34,7060.0,,870.0,6033.4,7817.5,870.0,48900,,,,,,238.29,29.721999999999998,0.0,0.0,0.0,BANKNIFTY,26-May-2026
20.0,-4.0,4.0,20.34,7050.0,2343.1,30.0,7254.6,7695.6,870.0,49000,60.0,168.15,299.8,60.0,-577.25,245.1,29.63,1277.0,212.0,1328.0,BANKNIFTY,26-May-2026
0.0,0.0,0.0,20.34,6089.4375,,870.0,5816.3,7519.35,120.0,49100,,,,,,252.41,29.522,0.0,0.0,0.0,BANKNIFTY,26-May-2026
0.0,0.0,0.0,20.34,5128.875,,870.0,5814.05,,,49200,,,,,,259.71999999999997,29.413999999999998,0.0,0.0,0.0,BANKNIFTY,26-May-2026
0.0,0.0,0.0,20.34,4168.3125,,870.0,5720.8,,,49300,,,,,,267.03,29.306,0.0,0.0,0.0,BANKNIFTY,26-May-2026
2.0,0.0,0.0,20.34,3207.75,5.65,900.0,5654.0,,,49400,,,,,,274.34,29.198,0.0,0.0,0.0,BANKNIFTY,26-May-2026
1.0,-2.0,2.0,20.34,6102.5,1652.5,90.0,6676.2,7340.95,870.0,49500,60.0,190.75,291.35,30.0,-632.45,281.65,29.09,396.0,-44.0,665.0,BANKNIFTY,26-May-2026
3.0,0.0,0.0,20.34,3063.85,1.3,900.0,5469.85,,,49600,3000.0,136.25,,,,506.23749999999995,28.966,0.0,0.0,0.0,BANKNIFTY,26-May-2026
0.0,0.0,0.0,20.34,3067.55,,870.0,5338.9,,,49700,,,,,,730.825,28.842,0.0,0.0,0.0,BANKNIFTY,26-May-2026
2.0,0.0,0.0,20.34,3071.25,,870.0,5217.05,,,49800,,,,,,955.4125,28.718,0.0,0.0,0.0,BANKNIFTY,26-May-2026
0.0,0.0,0.0,20.34,4754.725,,900.0,5145.2,,,49900,,,,,,1180.0,28.593999999999998,0.0,0.0,1.0,BANKNIFTY,26-May-2026
152.0,-3.0,96.0,20.34,6438.2,2339.5,300.0,6356.1,6587.6,30.0,50000,120.0,318.0,319.0,90.0,-710.15,320.0,28.47,3910.0,534.0,2085.0,BANKNIFTY,26-May-2026
0.0,0.0,0.0,20.475,6348.15,,900.0,4893.55,,,50100,,,,,,609.6333333333334,28.432222222222222,0.0,0.0,0.0,BANKNIFTY,26-May-2026
38.0,-1.0,5.0,20.61,6258.1,2277.25,30.0,6062.75,6796.85,870.0,50200,,,,,,899.2666666666668,28.394444444444442,0.0,0.0,0.0,BANKNIFTY,26-May-2026
0.0,0.0,0.0,20.607499999999998,4945.975,,870.0,4776.05,,,50300,,,840.0,90.0,25.55,1188.9,28.356666666666666,0.0,0.0,38.0,BANKNIFTY,26-May-2026
4.0,0.0,0.0,20.605,3633.85,,870.0,4771.45,,,50400,,,,,,1206.15,28.31888888888889,0.0,0.0,0.0,BANKNIFTY,26-May-2026
51.0,0.0,8.0,20.6025,5475.0,1671.05,30.0,4675.9,6423.2,30.0,50500,1980.0,267.15,,,,1223.4,28.28111111111111,0.0,0.0,0.0,BANKNIFTY,26-May-2026
24.0,0.0,0.0,20.6,3603.0,,870.0,4581.0,6304.6,870.0,50600,,,,,,1240.65,28.243333333333332,0.0,0.0,0.0,BANKNIFTY,26-May-2026
13.0,0.0,0.0,20.5975,3569.35,,900.0,4410.95,6246.4,300.0,50700,,,,,,1257.9,28.205555555555556,0.0,0.0,0.0,BANKNIFTY,26-May-2026
20.0,0.0,1.0,20.595,5482.95,2037.1,30.0,5445.3,5986.2,870.0,50800,,,486.0,30.0,-0.45,1275.15,28.167777777777776,0.0,0.0,37.0,BANKNIFTY,26-May-2026
23.0,0.0,0.0,20.5925,3157.25,,30.0,4209.3,5955.45,150.0,50900,30.0,390.0,438.7,60.0,-855.7,438.3,28.13,177.0,6.0,52.0,BANKNIFTY,26-May-2026
415.0,-80.0,154.0,20.59,5529.0,2102.25,240.0,5461.6,5696.05,30.0,51000,180.0,404.0,414.45,60.0,-876.45,412.0,27.19,2181.0,-150.0,994.0,BANKNIFTY,26-May-2026
