strike,oi,volume,iv_pct,ltp,option_type,option_type_encoded,Date,expiry,DTE,spot,close,moneyness,abs_moneyness,moneyness_sq,IV,ATM_IV,IV_relative,IV_rank,IV_HV_Spread,HV_20,log_HV_20,Skew,TS_Slope,OI_normalized,Volume_normalized,log_OI,call_oi,call_volume,predicted_price,mispricing,z_score,signal
50000,152.0,96.0,20.34,6438.2,CE,1,2026-04-09,2026-05-26,47,56200.0,6438.2,0.8896797153024911,0.11032028469750887,0.7915299958207217,0.2034,0.20456711337146063,-0.0011671133714606374,0.38497652582159625,-0.3311666702473016,0.5357337836187622,0.42900830174765275,0.14479930151473241,0.0,1.0768846978995161,0.5000978282136568,5.030437921392435,152.0,96.0,4808.767578125,1629.4324218749998,3.2541760351065765,SELL
58000,2971.0,1220.0,19.98,2514.95,PE,0,2026-04-09,2026-05-26,47,56200.0,2514.95,1.0320284697508897,0.03202846975088969,1.065082762376363,0.21871328134886805,0.20456711337146063,0.01414616797740742,0.5046948356807511,-0.3311666702473016,0.5357337836187622,0.42900830174765275,0.14479930151473241,0.0,21.04884498328594,6.355409900215222,7.99699040583765,2971.0,1220.0,3136.2373046875,-621.2873046875002,-2.4467392648658897,BUY
60000,435.0,306.0,20.09,3981.35,PE,0,2026-04-09,2026-05-26,47,56200.0,3981.35,1.0676156583629892,0.06761565836298922,1.139803193981839,0.22843176017558972,0.20456711337146063,0.023864646804129086,0.5375586854460094,-0.3311666702473016,0.5357337836187622,0.42900830174765275,0.14479930151473241,0.0,3.081873970962431,1.5940618274310312,6.077642243349034,435.0,306.0,1889.153076171875,2092.196923828125,4.4263260804158495,SELL
