strike,oi,volume,iv_pct,ltp,option_type,option_type_encoded,Date,expiry,DTE,spot,close,moneyness,abs_moneyness,moneyness_sq,IV,ATM_IV,IV_relative,IV_rank,IV_HV_Spread,HV_20,log_HV_20,Skew,TS_Slope,OI_normalized,Volume_normalized,log_OI,call_oi,call_volume,predicted_price,mispricing,z_score,signal
50000,152.0,96.0,20.34,6438.2,CE,1,2026-04-28,2026-05-26,28,56200.0,6438.2,0.8896797153024911,0.11032028469750887,0.7915299958207217,0.2034,0.26584480370865604,-0.062444803708656044,0.107981220657277,-0.2698889799101062,0.5357337836187622,0.42900830174765275,0.16784354791180237,0.0,1.0768846978995161,0.5000978282136568,5.030437921392435,152.0,96.0,3632.4677734375,2805.7322265625,3.814200056787018,SELL
51000,415.0,154.0,20.59,5529.0,CE,1,2026-04-28,2026-05-26,28,56200.0,5529.0,0.9074733096085409,0.09252669039145911,0.8235078076518787,0.2279801106452999,0.26584480370865604,-0.03786469306335613,0.352112676056338,-0.2698889799101062,0.5357337836187622,0.42900830174765275,0.16784354791180237,0.0,2.9401786159756527,0.8022402660927411,6.030685260261263,415.0,154.0,3401.052978515625,2127.947021484375,2.6385403837249912,SELL
51500,124.0,104.0,17.84,4998.4,CE,1,2026-04-28,2026-05-26,28,56200.0,4998.4,0.9163701067615658,0.08362989323843417,0.8397341725662035,0.187652375452325,0.26584480370865604,-0.07819242825633105,0.03286384976525822,-0.2698889799101062,0.5357337836187622,0.42900830174765275,0.16784354791180237,0.0,0.8785112009180264,0.5417726472314616,4.8283137373023015,124.0,104.0,3065.99560546875,1932.4043945312496,2.2993598009223573,SELL
59500,211.0,139.0,21.78,3699.6,PE,0,2026-04-28,2026-05-26,28,56200.0,3699.6,1.0587188612099645,0.0587188612099645,1.120885627081724,0.28494163439040615,0.26584480370865604,0.01909683068175011,0.5539906103286385,-0.2698889799101062,0.5357337836187622,0.42900830174765275,0.16784354791180237,0.0,1.4948859951105125,0.7240999804343573,5.356586274672012,211.0,139.0,1715.721435546875,1983.878564453125,2.3886448802189992,SELL
60000,435.0,306.0,20.09,3981.35,PE,0,2026-04-28,2026-05-26,28,56200.0,3981.35,1.0676156583629892,0.06761565836298922,1.139803193981839,0.26274169804069647,0.26584480370865604,-0.0031031056679595714,0.4788732394366197,-0.2698889799101062,0.5357337836187622,0.42900830174765275,0.16784354791180237,0.0,3.081873970962431,1.5940618274310312,6.077642243349034,435.0,306.0,1335.3670654296875,2645.9829345703124,3.537105191056248,SELL
